Question;Réponse 1;Réponse 2;Réponse 1.1 valeur;R 1.1;Réponse 2.1 valeur;R 2.1;Réponse 1.2 valeur;R 1.2;Réponse 2.2 valeur;R 2.2;ILLU GAUCHE;PRIO;ILLU DROITE;PRIO;Question (ENGLISH);Réponse 1 (ENGLISH);Réponse 2 (ENGLISH);;;
Si certaines conditions se réunissent, tu serais prêt à prendre les armes pour ton pays;Oui;Non;sansCategorie;0;sansCategorie;0;sansCategorie;0;sansCategorie;0;;;;;If certain conditions were met, you would be willing to take up arms for your country;Yes;No;;;
L'humanité apprend de ses erreurs;Oui;Non;natureHumaine;10;natureHumaine;-10;sansCategorie;0;sansCategorie;0;;;;;Humanity learns from its mistakes;Yes;No;;;
Si travailler n'était pas obligatoire pour vivre, tu ne travaillerais pas;Oui;Non;rapportAuxAutres;-10;rapportAuxAutres;10;roleCitoyen;-10;roleCitoyen;10;;;;;If working were not necessary to live, you would not work;Yes;No;;;
Peu importe la compétition, il est impossible de garantir une égalité des conditions entre participants;Oui;Non;egaliteEquite;-10;egaliteEquite;10;sansCategorie;0;sansCategorie;0;;;;;No matter the competition, it is impossible to guarantee equal conditions for participants;Yes;No;;;
Nous stressons plus que nos ancêtres ;Oui;Non;bonheur;-10;bonheur;10;sansCategorie;0;sansCategorie;0;;;;;We are more stressed than our ancestors;Yes;No;;;
Le désir de reconnaissance est malsain;Oui;Non;ego;-10;ego;10;RapportASoi;10;RapportASoi;-10;;;;;The desire for recognition is unhealthy;Yes;No;;;
Vivre depuis assez longtemps dans un pays devrait systématiquement justifier l'obtention de la nationalité de celui-ci;Oui;Non;egaliteEquite;-10;egaliteEquite;10;justice;10;justice;-10;;;;;Living in a country for long enough should systematically justify obtaining its nationality;Yes;No;;;
Les rues sont moins sûres qu'avant;Oui;Non;fermete;10;fermete;-10;sansCategorie;0;sansCategorie;0;TIQUE;1;;;The streets are less safe than before;Yes;No;;;
Les caméras dans la rue te font sentir plus en sécurité;Oui;Non;fermete;10;fermete;-10;sansCategorie;0;sansCategorie;0;;;;;Street cameras make you feel safer;Yes;No;;;
Les patrouilles de police te font sentir plus en sécurité;Oui;Non;fermete;10;fermete;-10;sansCategorie;0;sansCategorie;0;;;;;Police patrols make you feel safer;Yes;No;;;
Tu te sens globalement en sécurité;Oui;Non;fermete;-10;fermete;10;sansCategorie;0;sansCategorie;0;;;;;Do you generally feel safe;Yes;No;;;
Il est possible de changer la société en utilisant uniquement les outils démocratiques mis à notre disposition;Oui;Non;roleCitoyen;10;roleCitoyen;-10;roleEtat;10;roleEtat;-10;;;;;It is possible to change society using only the democratic tools available to us;Yes;No;;;
La consommation de drogue devrait être légale;Oui;Non;morale;-10;morale;10;sansCategorie;0;sansCategorie;0;;;;;Drug use should be legal;Yes;No;;;
Il est possible de trop se remettre en question;Oui;Non;sansCategorie;0;sansCategorie;0;sansCategorie;0;sansCategorie;0;;;;;It's possible to question yourself too much;Yes;No;;;
Tout est politique;Oui;Non;sansCategorie;0;sansCategorie;0;sansCategorie;0;sansCategorie;0;;;;;Everything is political;Yes;No;;;
On banalise trop le sexe;Oui;Non;sansCategorie;0;sansCategorie;0;sansCategorie;0;sansCategorie;0;;;;;Sex is too normalized;Yes;No;;;
Peux-tu prouver l'existance de tous les objets qui t'entourent;Oui;Non;sansCategorie;0;sansCategorie;0;sansCategorie;0;sansCategorie;0;;;;;Can you prove the existence of all the objects around you?;Yes;No;;;
Tu trouverais amusant de réaliser aujourd'hui que tu ne perçois pas le monde matériel comme les autres;Oui;Non;sansCategorie;0;sansCategorie;0;sansCategorie;0;sansCategorie;0;;;;;You might find it amusing to realize today that you don't perceive the material world the same way others do;Yes;No;;;
La propriété privée est un droit fondamental;Oui;Non;capitaliste;10;capitaliste;-10;sansCategorie;0;sansCategorie;0;;;;;Private property is a fundamental right;Yes;No;;;
Tous les humains à qui on donne trop de pouvoir ont des déviances;Oui;Non;morale;10;morale;-10;natureHumaine;-10;natureHumaine;10;;;;;Everyone who is given too much power develops some form of deviance;Yes;No;;;
La bière c'est de gauche et le vin c'est de droite;Oui;Non;sansCategorie;0;sansCategorie;0;sansCategorie;0;sansCategorie;0;;;;;In terms of politics, beer is left-wing and wine is right-wing;Yes;No;;;
Le clivage gauche-droite est désuet;Oui;Non;sansCategorie;0;sansCategorie;0;sansCategorie;0;sansCategorie;0;;;;;The political notions of right-wing & left-wing are obsolete;Yes;No;;;
Placée dans un contexte propice, toute personne est un criminel en puissance;Oui;Non;natureHumaine;-10;natureHumaine;10;morale;10;morale;-10;;;;;Given the right circumstances, anyone is potentially a criminal;Yes;No;;;
La confiance est quelque chose qu'on acquiert ou qu'on perd;Qu'on acquiert;Qu'on perd;rapportAuxAutres;-10;rapportAuxAutres;10;sansCategorie;0;sansCategorie;0;;;;;Trust is something you gain or lose;Gain;Lose;;;
Faire aveuglément confiance à la science relève de la croyance;Oui;Non;cartesien;-10;cartesien;10;sansCategorie;0;sansCategorie;0;;;;;Blindly trusting science is a form of belief;Yes;No;;;
La notion de mauvais goût est une notion méprisante;Oui;Non;art;-5;art;5;sansCategorie;0;sansCategorie;0;;;;;The notion of bad taste is a condescending concept;Yes;No;;;
Il existe des sous-cultures;Oui;Non;art;-10;art;10;sansCategorie;0;sansCategorie;0;;;;;Subcultures exist;Yes;No;;;
La police devrait être désarmée;Oui;Non;fermete;-10;sansCategorie;0;sansCategorie;0;sansCategorie;0;;;;;The police should be disarmed;Yes;No;;;
Les fumeurs tiennent moins à la vie que les non-fumeurs;Oui;Non;sansCategorie;0;sansCategorie;0;sansCategorie;0;sansCategorie;0;;;;;Smokers care less about life than non-smokers;Yes;No;;;
La consommation de viande ne pose problème que parce qu'elle se fait en masse;Oui;Non;tradiProgres;-10;tradiProgres;10;sansCategorie;0;sansCategorie;0;;;;;Meat consumption is only a problem because it is done on a mass scale;Yes;No;;;
Interdire c'est inciter;Oui;Non;natureHumaine;5;natureHumaine;-5;sansCategorie;0;sansCategorie;0;;;;;Prohibition encourages what it prohibits;Yes;No;;;
Faire simple est plus complexe que faire compliqué;Oui;Non;sansCategorie;0;sansCategorie;0;sansCategorie;0;sansCategorie;0;;;;;Keeping things simple is more complex than making things complicated;Yes;No;;;
La majorité des gens sont idiots;Oui;Non;rapportAuxAutres;-10;rapportAuxAutres;10;sansCategorie;0;sansCategorie;0;;;;;Most people are idiots;Yes;No;;;
Tu crois au karma;Oui;Non;spiritualite;10;spiritualite;-10;sansCategorie;0;sansCategorie;0;;;;;Do you believe in karma;Yes;No;;;
Un cancer c'est le résultat d'un corps malmené qui se désolidarise de son propriétaire;Oui;Non;spiritualite;10;spiritualite;-10;sansCategorie;0;sansCategorie;0;;;;;Cancer is the result of an abused body breaking away from its owner;Yes;No;;;
L'humain est plutôt un corps ou plutôt un esprit;Un corps;Un esprit;natureHumaine;5;natureHumaine;-5;sansCategorie;0;sansCategorie;0;;;;;Humans are more body or more spirit;More body;More spirit;;;
Certaines formes de douleurs sont bonnes;Oui;Non;spiritualite;5;spiritualite;-5;sansCategorie;0;sansCategorie;0;;;;;Some forms of pain are good;Yes;No;;;
Chaque sensation corporelle est un message sensé et interprétable;Oui;Non;cartesien;10;cartesien;-10;sansCategorie;0;sansCategorie;0;;;;;Every bodily sensation is a meaningful and interpretable message;Yes;No;;;
Le progrès technique crée plus d'emplois qu'il n'en détruit;Oui;Non;cartesien;10;cartesien;-10;tradiProgres;10;tradiProgres;-10;;;;;Technological progress creates more jobs than it destroys;Yes;No;;;
Les nouveaux riches ont un syndrome de Stockholm ;Oui;Non;sansCategorie;0;sansCategorie;0;sansCategorie;0;sansCategorie;0;;;;;Newly rich people have Stockholm syndrome;Yes;No;;;
On peut rire de tout;Oui;Non;morale;-10;morale;10;sansCategorie;0;sansCategorie;0;;;;;Can we laugh about anything;Yes;No;;;
On peut débattre de tout;Oui;Non;morale;-10;morale;10;sansCategorie;0;sansCategorie;0;;;;;Can we debate anything;Yes;No;;;
100 humains peuvent battre un gorille;Oui;Non;sansCategorie;0;sansCategorie;0;sansCategorie;0;sansCategorie;0;;;;;100 humans can beat a gorilla;Yes;No;;;
Monter des escaliers fatigue plus que monter une pente;Oui;Non;sansCategorie;0;sansCategorie;0;sansCategorie;0;sansCategorie;0;;;;;Climbing stairs is more tiring than walking up a slope;Yes;No;;;
Dans un trajet qu'est-ce qui passe le plus vite, l'aller ou le retour;L'aller;Le retour;sansCategorie;0;sansCategorie;0;sansCategorie;0;sansCategorie;0;;;;;On a journey, which feels faster: the way there or the way back;Way there;Way back;;;
Pouvoir se représenter à des élections devrait être impossible;Oui;Non;justice;10;justice;-10;roleEtat;10;roleEtat;-10;;;;;It should be impossible to run for office again;Yes ;No;;;
Il est possible de changer le plomb en or;Oui;Non;sansCategorie;0;sansCategorie;0;sansCategorie;0;sansCategorie;0;;;;;It is possible to turn lead into gold;Yes ;No;;;
Ne plus jamais pouvoir respirer par la bouche ou par le nez;Par la bouche;Par le nez;sansCategorie;0;sansCategorie;0;sansCategorie;0;sansCategorie;0;;;;;Never again being able to breathe through the mouth or nose;Through the mouth;Through the noze;;;
Ne plus avoir de genoux ou ne plus avoir de coudes;Plus de genoux;Plus de coudes;sansCategorie;0;sansCategorie;0;sansCategorie;0;sansCategorie;0;;;;;To no longer have knees or elbows;No knees;No elbows;;;
Les abysses cachent des choses totalement insoupçonnées;Oui;Non;cartesien;-5;cartesien;5;sansCategorie;0;sansCategorie;0;;;;;The depths of the oceans hide completely unsuspected things;Yes;No;;;
C'est quand on s'ennuie que viennent les idées;Oui;Non;independance;10;independance;-5;sansCategorie;0;sansCategorie;0;;;;;Great ideas come when you're bored;Yes;No;;;
Savoir raconter les histoires est plus important qu'en avoir des bonnes à raconter;Oui;Non;art;-5;art;5;sansCategorie;0;sansCategorie;0;;;;;Knowing how to tell stories is more important than having good stories to tell;Yes;No;;;
Dans une chanson, la musique est plus importante que les paroles;Oui;Non;art;-5;art;5;sansCategorie;0;sansCategorie;0;;;;;In a song, the music is more important than the lyrics;Yes;No;;;
La culture du vide existe;Oui;Non;art;5;art;-5;sansCategorie;0;sansCategorie;0;;;;;A culture of emptiness exists;Yes;No;;;
La maturité est uniquement une question d'âge;Oui;Non;sansCategorie;0;sansCategorie;0;sansCategorie;0;sansCategorie;0;;;;;Maturity is solely a matter of age;Yes;No;;;
Les douleurs émotionnelles sont souvent plus violentes que les douleurs physiques ;Oui;Non;sansCategorie;0;sansCategorie;0;sansCategorie;0;sansCategorie;0;;;;;Emotional pain is often more intense than physical pain;Yes;No;;;
Est-ce que le mot 'toxique' est sur-utilisé;Oui;Non;tradiProgres;-5;tradiProgres;5;sansCategorie;0;sansCategorie;0;;;;;Is the word 'toxic' overused;Yes;No;;;
Quelqu'un qui rit du malheur des autres fait forcément de cette personne quelqu'un d'immoral ;Oui;Non;morale;5;morale;-5;sansCategorie;0;sansCategorie;0;;;;;Someone who laughs at other people's misfortune is necessarily immoral;Yes;No;;;
Est-ce que vieillir te fait peur;Oui;Non;bonheur;10;bonheur;-10;sansCategorie;0;sansCategorie;0;;;;;Does getting older scare you;Yes;No;;;
Est-ce que tu aimerais voir un biopic sur ta vie;Oui;Non;ego;5;ego;-10;sansCategorie;0;sansCategorie;0;;;;;Would you like to see a biopic about your life;Yes;No;;;
Est-ce que tu t'es déjà surpris à être condescendant;Oui;Non;rapportAuxAutres;-5;rapportAuxAutres;5;ego;5;ego;-5;;;;;Have you ever caught yourself being condescending;Yes;No;;;
Est-ce que tu as le sentiment de mentir plus que la moyenne;Oui;Non;rapportAuxAutres;-10;rapportAuxAutres;5;sansCategorie;0;sansCategorie;0;;;;;Do you feel like you lie more than average;Yes;No;;;
Est-ce qu'il y a des gens en qui tu fais confiance aveuglément;Oui;Non;rapportAuxAutres;10;rapportAuxAutres;-5;sansCategorie;0;sansCategorie;0;;;;;Are there people you trust blindly;Yes;No;;;
Tu préférerais te réincarner en humain ou en animal;En humain;En animal;spiritualite;-5;spiritualite;10;sansCategorie;0;sansCategorie;0;;;;;Would you rather be reincarnated as a human or an animal;As a human;As an animal;;;
Quel est le plus agaçant entre quelqu'un qui parle énormément ou quelqu'un qui parle très peu;Enormément;Très peu;sansCategorie;0;sansCategorie;0;sansCategorie;0;sansCategorie;0;;;;;What's more annoying: someone who talks way too much or someone who barely talks;Talks way too much;Barely talks ;;;
Tu peux facilement être vexé;Oui;Non;RapportASoi;-5;RapportASoi;10;sansCategorie;0;sansCategorie;0;;;;;Are you easily offended;Yes;No;;;
Le temps peut guérir toutes les blessures;Oui;Non;bonheur;10;bonheur;-10;sansCategorie;0;sansCategorie;0;;;;;Time can heal all wounds;Yes;No;;;
De manière générale tu privilégies plutôt la fréquence ou l'intensité;Fréquence;Intensité;sansCategorie;0;sansCategorie;0;sansCategorie;0;sansCategorie;0;;;;;In general, do you prioritize frequency or intensity;Frequency;Intensity;;;
Est-ce que tu estimes te connaître à 100%;Oui;Non;ego;10;ego;-5;RapportASoi;5;RapportASoi;-5;;;;;Do you consider yourself to know yourself 100%;Yes ;No;;;
Lampadaire ou boule de bowling;Lampadaire;Boule de bolwing;sansCategorie;0;sansCategorie;0;sansCategorie;0;sansCategorie;0;LAMPADAIRE;1;BOWLING;1;Street lamp or bowling ball;Street lamp;Bowling ball;;;
Te souviens-tu de tes rêves;Oui;Non;sansCategorie;0;sansCategorie;0;sansCategorie;0;sansCategorie;0;;;;;Do you remember your dreams;Yes;No;;;
Qui fais-tu passer en premier;Toi-même;Les autres;RapportASoi;10;RapportASoi;-5;sansCategorie;0;sansCategorie;0;;;;;Who do you put first;Yourself;The others;;;
Te sens-tu en paix avec toi-même;Oui ;Non;RapportASoi;10;RapportASoi;-10;sansCategorie;0;sansCategorie;0;;;;;Do you feel at peace with yourself;Yes;No;;;
Château de sable ou château de cartes;De sable;De cartes;sansCategorie;0;sansCategorie;0;sansCategorie;0;sansCategorie;0;;;;;Sandcastle or house of cards;Sandcastle ;House of cards;;;
Tu as déjà commis des délits;Oui ;Non;justice;-5;justice;5;fermete;-5;fermete;5;;;;;Have you ever committed a crime;Yes;No;;;
La propriété intellectuelle est un frein à l'innovation;Oui ;Non;capitaliste;-10;capitaliste;10;egaliteEquite;-10;egaliteEquite;10;;;;;Intellectual property is a barrier to innovation;Yes;No;;;
Quel est le plus désagréable : avoir trop chaud ou avoir trop froid;Trop chaud;Trop froid;sansCategorie;0;sansCategorie;0;sansCategorie;0;sansCategorie;0;;;;;What's more unpleasant: being too hot or too cold;Too hot;Too cold;;;
Tu sais ce qui te rend heureux;Oui ;Non;bonheur;10;bonheur;-5;RapportASoi;10;RapportASoi;-5;;;;;Do you know what makes you happy;Yes;No;;;
Tu préfères partir seul.e à la destination de tes rêves ou rester en vacances dans ta ville avec tes proches;Partir seul.e;Rester;RapportASoi;10;rapportAuxAutres;10;sansCategorie;0;sansCategorie;0;;;;;Would you rather travel alone to your dream destination or stay on vacation in your hometown with your loved ones;Travel alone;Stay;;;
Tu serais une moins bonne personne si tu étais riche;Oui ;Non;natureHumaine;-10;natureHumaine;10;capitaliste;-10;capitaliste;10;;;;;You would be a worse person if you were rich;Yes;No;;;
Aux yeux de la société, quel est le pire entre ne jamais s'excuser et s'excuser tout le temps;Jamais;Tout le temps;sansCategorie;0;sansCategorie;0;sansCategorie;0;sansCategorie;0;;;;;In society's eyes, which is worse: never apologizing or apologizing all the time;Never;All the time;;;
Tu es rancunier.ère;Oui ;Non;rapportAuxAutres;5;rapportAuxAutres;-5;fermete;5;fermete;-5;;;;;Do you hold grudges?;Yes;No;;;
Certains tests de personnalité sont fiables;Oui ;Non;sansCategorie;0;sansCategorie;0;sansCategorie;0;sansCategorie;0;;;;;Some personality tests are reliable;Yes;No;;;
Si tu étais une chaîne de télévision tu serais une chaîne privée ou publique;Privée;Publique;sansCategorie;0;sansCategorie;0;sansCategorie;0;sansCategorie;0;;;;;If you were a TV channel, would you be a private or public channel;Private;Public;;;
Face à un combat animal, resterais-tu passif;Oui;Non;sansCategorie;0;sansCategorie;0;sansCategorie;0;sansCategorie;0;;;;;Would you remain passive if you witnessed an animal fight;Yes;No;;;
Les enfants peuvent-ils être légalement coupables;Oui;Non;natureHumaine;5;natureHumaine;-5;sansCategorie;0;sansCategorie;0;;;;;Can children be legally held responsible;Yes;No;;;
Penses-tu pouvoir vaincre toutes tes peurs;Oui;Non;sansCategorie;0;sansCategorie;0;sansCategorie;0;sansCategorie;0;;;;;Do you think you could overcome all your fears;Yes;No;;;
Le don est-il forcément altruiste;Oui;Non;sansCategorie;0;sansCategorie;0;sansCategorie;0;sansCategorie;0;;;;;Is giving necessarily altruistic;Yes;No;;;
Te sens-tu manipulé;Oui;Non;sansCategorie;0;independance;10;sansCategorie;0;sansCategorie;0;HAMECON;1;;;Do you feel manipulated;Yes;No;;;
L'alcool devrait être prohibé;Oui;Non;sansCategorie;0;sansCategorie;0;sansCategorie;0;sansCategorie;0;;;;;Alcohol should be prohibited;Yes;No;;;
Blanc ou noir;Blanc;Noir;sansCategorie;0;sansCategorie;0;sansCategorie;0;sansCategorie;0;;;;;White or black;White;Black;;;
Est-ce que selon toi 'l'usage fait la norme';Oui;Non;tradiProgres;10;tradiProgres;-5;sansCategorie;0;sansCategorie;0;;;;;Do you think that “practice makes the rule”;Yes;No;;;
As-tu peur de la mort;Oui;Non;sansCategorie;0;sansCategorie;0;sansCategorie;0;sansCategorie;0;;;;;Are you afraid of death;Yes;No;;;
As-tu des croyances que tu sais être irrationnelles ;Oui;Non;cartesien;-10;sansCategorie;-10;sansCategorie;0;sansCategorie;0;;;;;Do you have beliefs that you know are irrational;Yes;No;;;
Est-ce que tout le monde peut changer;Oui;Non;natureHumaine;10;natureHumaine;-10;sansCategorie;0;sansCategorie;0;;;;;Can everyone change;Yes;No;;;
Les armes sont un bien nécessaire au bon fonctionnement de la société ;Oui;Non;sansCategorie;0;sansCategorie;0;sansCategorie;0;sansCategorie;0;SERPE;1;;;Weapons are necessary for society to function properly;Yes;No;;;
Le port d'armes devrait être autorisé ;Oui;Non;sansCategorie;0;sansCategorie;0;sansCategorie;0;sansCategorie;0;TRIDENT;1;;;Carrying weapons should be allowed;Yes;No;;;
La légitime défense est une raison suffisante pour tuer quelqu'un ;Oui;Non;sansCategorie;0;sansCategorie;0;sansCategorie;0;sansCategorie;0;;;;;Is self-defense sufficient reason to kill someone;Yes;No;;;
Si tu pouvais recommencer tout à zéro et devenir un bébé, le ferais tu ;Oui;Non;sansCategorie;0;sansCategorie;0;sansCategorie;0;sansCategorie;0;;;;;Would you start all over again and become a baby if you could ;Yes;No;;;
De quelle couleur est le chiffre 7;Jaune;Vert;sansCategorie;0;sansCategorie;0;sansCategorie;0;sansCategorie;0;;;;;What color is the number 7;Yellow ;Green;;;
